image,x,y,arc_length,energy
0,-1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00
1,-9.68188293e-01,9.32368762e-01,7.47393411e-02,4.17217591e-03
2,-9.35444571e-01,8.65183810e-01,1.49478682e-01,1.65855759e-02
3,-9.01684644e-01,7.98503704e-01,2.24218023e-01,3.70674803e-02
4,-8.66811156e-01,7.32399174e-01,2.98957364e-01,6.54167922e-02
5,-8.30710617e-01,6.66956679e-01,3.73696705e-01,1.01397266e-01
6,-7.93249577e-01,6.02283349e-01,4.48436046e-01,1.44728598e-01
7,-7.54269678e-01,5.38513948e-01,5.23175387e-01,1.95074549e-01
8,-7.13581238e-01,4.75820886e-01,5.97914728e-01,2.52026863e-01
9,-6.70955098e-01,4.14428857e-01,6.72654069e-01,3.15083189e-01
10,-6.26112803e-01,3.54636402e-01,7.47393411e-01,3.83616306e-01
11,-5.78716705e-01,2.96847311e-01,8.22132752e-01,4.56830670e-01
12,-5.28365898e-01,2.41613577e-01,8.96872093e-01,5.33700377e-01
13,-4.74613356e-01,1.89684459e-01,9.71611434e-01,6.12880071e-01
14,-4.17031952e-01,1.42036258e-01,1.04635077e+00,6.92578310e-01
15,-3.55352370e-01,9.98272745e-02,1.12109012e+00,7.70389823e-01
16,-2.89639026e-01,6.42221411e-02,1.19582946e+00,8.43124677e-01
17,-2.20381428e-01,3.61266927e-02,1.27056880e+00,9.06770755e-01
18,-1.48398642e-01,1.60158111e-02,1.34530814e+00,9.56801423e-01
19,-7.46325761e-02,3.99347318e-03,1.42004748e+00,9.88915837e-01
20,-9.38285555e-11,1.55532086e-08,1.49478682e+00,1.00000000e+00
21,7.46325757e-02,3.99347653e-03,1.56952616e+00,9.88915837e-01
22,1.48398642e-01,1.60158154e-02,1.64426550e+00,9.56801423e-01
23,2.20381429e-01,3.61266923e-02,1.71900484e+00,9.06770754e-01
24,2.89639028e-01,6.42221392e-02,1.79374419e+00,8.43124677e-01
25,3.55352372e-01,9.98272731e-02,1.86848353e+00,7.70389823e-01
26,4.17031953e-01,1.42036258e-01,1.94322287e+00,6.92578310e-01
27,4.74613356e-01,1.89684459e-01,2.01796221e+00,6.12880071e-01
28,5.28365899e-01,2.41613577e-01,2.09270155e+00,5.33700377e-01
29,5.78716705e-01,2.96847311e-01,2.16744089e+00,4.56830670e-01
30,6.26112803e-01,3.54636402e-01,2.24218023e+00,3.83616306e-01
31,6.70955098e-01,4.14428857e-01,2.31691957e+00,3.15083189e-01
32,7.13581238e-01,4.75820886e-01,2.39165891e+00,2.52026863e-01
33,7.54269678e-01,5.38513948e-01,2.46639825e+00,1.95074549e-01
34,7.93249577e-01,6.02283349e-01,2.54113760e+00,1.44728598e-01
35,8.30710617e-01,6.66956679e-01,2.61587694e+00,1.01397266e-01
36,8.66811156e-01,7.32399174e-01,2.69061628e+00,6.54167922e-02
37,9.01684644e-01,7.98503704e-01,2.76535562e+00,3.70674803e-02
38,9.35444571e-01,8.65183810e-01,2.84009496e+00,1.65855759e-02
39,9.68188293e-01,9.32368762e-01,2.91483430e+00,4.17217591e-03
40,1.00000000e+00,1.00000000e+00,2.98957364e+00,0.00000000e+00
