image,x,y,arc_length,energy
0,-1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00
1,-9.68150429e-01,9.32440485e-01,7.46905835e-02,4.16701115e-03
2,-9.35427752e-01,8.65299516e-01,1.49381167e-01,1.65645966e-02
3,-9.01746154e-01,7.98634434e-01,2.24071751e-01,3.70202623e-02
4,-8.66825193e-01,7.32610122e-01,2.98762334e-01,6.53342673e-02
5,-8.30740759e-01,6.67214427e-01,3.73452917e-01,1.01270618e-01
6,-7.93370830e-01,6.02544715e-01,4.48143501e-01,1.44548831e-01
7,-7.54382566e-01,5.38837584e-01,5.22834084e-01,1.94834730e-01
8,-7.13658156e-01,4.76226038e-01,5.97524668e-01,2.51722813e-01
9,-6.71047756e-01,4.14882440e-01,6.72215251e-01,3.14712135e-01
10,-6.26264973e-01,3.55106310e-01,7.46905835e-01,3.83176556e-01
11,-5.78946435e-01,2.97316699e-01,8.21596418e-01,4.56322515e-01
12,-5.28631687e-01,2.42116070e-01,8.96287002e-01,5.33129511e-01
13,-4.74768647e-01,1.90371929e-01,9.70977585e-01,6.12270347e-01
14,-4.16860459e-01,1.43198578e-01,1.04566817e+00,6.91999381e-01
15,-3.54903276e-01,1.01485382e-01,1.12035875e+00,7.69940603e-01
16,-2.90049475e-01,6.44358517e-02,1.19504934e+00,8.42698324e-01
17,-2.19650664e-01,3.94820812e-02,1.26973992e+00,9.06603023e-01
18,-1.48403073e-01,1.70663738e-02,1.34443050e+00,9.56683818e-01
19,-7.42015363e-02,8.53318701e-03,1.41912109e+00,9.89110225e-01
20,4.44901713e-17,2.03703675e-10,1.49381167e+00,1.00000000e+00
21,7.42015363e-02,8.53318701e-03,1.56850225e+00,9.89110225e-01
22,1.48403073e-01,1.70663738e-02,1.64319284e+00,9.56683818e-01
23,2.19650664e-01,3.94820812e-02,1.71788342e+00,9.06603023e-01
24,2.90049475e-01,6.44358517e-02,1.79257400e+00,8.42698324e-01
25,3.54903276e-01,1.01485382e-01,1.86726459e+00,7.69940603e-01
26,4.16860459e-01,1.43198578e-01,1.94195517e+00,6.91999381e-01
27,4.74768647e-01,1.90371929e-01,2.01664575e+00,6.12270347e-01
28,5.28631687e-01,2.42116070e-01,2.09133634e+00,5.33129511e-01
29,5.78946435e-01,2.97316699e-01,2.16602692e+00,4.56322515e-01
30,6.26264973e-01,3.55106310e-01,2.24071750e+00,3.83176556e-01
31,6.71047756e-01,4.14882440e-01,2.31540809e+00,3.14712135e-01
32,7.13658156e-01,4.76226038e-01,2.39009867e+00,2.51722813e-01
33,7.54382566e-01,5.38837584e-01,2.46478925e+00,1.94834730e-01
34,7.93370830e-01,6.02544715e-01,2.53947984e+00,1.44548831e-01
35,8.30740759e-01,6.67214427e-01,2.61417042e+00,1.01270618e-01
36,8.66825193e-01,7.32610122e-01,2.68886100e+00,6.53342673e-02
37,9.01746154e-01,7.98634434e-01,2.76355159e+00,3.70202623e-02
38,9.35427752e-01,8.65299516e-01,2.83824217e+00,1.65645966e-02
39,9.68150429e-01,9.32440485e-01,2.91293275e+00,4.16701115e-03
40,1.00000000e+00,1.00000000e+00,2.98762334e+00,0.00000000e+00
