x,rho_cluster,rho_plus,rho_minus
-6.4,0.0294967504674162,0.0294967682423451,0.0294967326924873
-6,0.029879337260142,0.029814424578009,0.0299442499422751
-5.6,0.0302483372194912,0.0301268102835905,0.0303698641553919
-5.2,0.0310886403397638,0.0308378203817881,0.0313394602977395
-4.8,0.0328498574207006,0.0323252538025192,0.033374461038882
-4.4,0.0365138794636379,0.0354131586896462,0.0376146002376296
-4,0.0441817725622239,0.0418599377529322,0.0465036073715156
-3.6,0.0603014966280313,0.0554052580328673,0.0651977352231952
-3.2,0.0937056522603879,0.0837381526925607,0.103673151828215
-2.8,0.1578968648823,0.139903064756785,0.175890665007815
-2.4,0.260220947067677,0.234600302737887,0.285841591397467
-2,0.379738167070834,0.352642933551617,0.40683340059005
-1.6,0.476632895362833,0.453729929517226,0.49953586120844
-1.2,0.540847289570272,0.522237974905036,0.559456604235508
-0.8,0.584587303326043,0.568742729752214,0.600431876899872
-0.4,0.60588442957045,0.592290884047394,0.619477975093506
0,0.609620550225263,0.596951218029778,0.622289882420747
0.4,0.605880742933257,0.592252900687059,0.619508585179456
0.8,0.584575058638942,0.568725827454869,0.600424289823016
1.2,0.540827797409206,0.522214012071056,0.559441582747356
1.6,0.476603845164064,0.453715531286765,0.499492159041363
2,0.379695878567157,0.352596769981368,0.406794987152946
2.4,0.260176762951111,0.234554023582102,0.28579950232012
2.8,0.15786461632414,0.139874720162022,0.175854512486259
3.2,0.0936865190908025,0.0837199674723462,0.103653070709259
3.6,0.0602902443411226,0.0553976432610321,0.0651828454212131
4,0.0441734860536104,0.0418541189797323,0.0464928531274886
4.4,0.0365050712580526,0.0354068968174198,0.0376032456986854
4.8,0.0328343064339594,0.0323123299747197,0.0333562828931991
5.2,0.0310717121294048,0.0308238316591073,0.0313195925997024
5.6,0.0302422638302052,0.0301222031967484,0.030362324463662
6,0.0294967504674162,0.0294966722919834,0.029496828642849
