ix,iy,x,y,rho,eigvec
0,0,-6.4,-6.4,0.0294967504674162,-1.64171384478529e-07
0,1,-6.4,-6,0.0294967504674162,3.40620861255024e-08
0,2,-6.4,-5.6,0.0294967504674162,-3.57605954977359e-08
0,3,-6.4,-5.2,0.0294967504674162,-5.61723566779053e-08
0,4,-6.4,-4.8,0.0294967504674162,-2.86845589934597e-08
0,5,-6.4,-4.4,0.0294967504674162,-6.4061539988906e-09
0,6,-6.4,-4,0.0294967504674162,9.63805066555762e-08
0,7,-6.4,-3.6,0.0294967504674162,-9.29437291416196e-08
0,8,-6.4,-3.2,0.0294967504674162,-6.94491673575626e-08
0,9,-6.4,-2.8,0.0294967504674162,-1.67681508678204e-07
0,10,-6.4,-2.4,0.0294967504674162,-1.62516691024757e-07
0,11,-6.4,-2,0.0294967504674162,-1.67946012833048e-07
0,12,-6.4,-1.6,0.0294967504674162,-1.46101229639343e-07
0,13,-6.4,-1.2,0.0294967504674162,-3.21087919727576e-07
0,14,-6.4,-0.8,0.0294967504674162,2.69876106341466e-07
0,15,-6.4,-0.4,0.0294967504674162,-5.81932113123756e-07
0,16,-6.4,0,0.0294967504674162,1.77749289108047e-08
0,17,-6.4,0.4,0.0294967504674162,-2.88214563895331e-08
0,18,-6.4,0.8,0.0294967504674162,-5.40847271603308e-08
0,19,-6.4,1.2,0.0294967504674162,6.37493178577581e-08
0,20,-6.4,1.6,0.0294967504674162,-3.78684084125308e-07
0,21,-6.4,2,0.0294967504674162,-2.177624453512e-07
0,22,-6.4,2.4,0.0294967504674162,1.70877503488953e-07
0,23,-6.4,2.8,0.0294967504674162,2.99708766535919e-07
0,24,-6.4,3.2,0.0294967504674162,-4.21292079314052e-07
0,25,-6.4,3.6,0.0294967504674162,-1.41937562294172e-07
0,26,-6.4,4,0.0294967504674162,1.57276599206672e-08
0,27,-6.4,4.4,0.0294967504674162,-2.63239846193441e-07
0,28,-6.4,4.8,0.0294967504674162,-1.15114675090801e-07
0,29,-6.4,5.2,0.0294967504674162,-1.84860437470094e-07
0,30,-6.4,5.6,0.0294967504674162,3.25317244878451e-08
0,31,-6.4,6,0.0294967504674162,-2.20768882546283e-07
1,0,-6,-6.4,0.0294967504674162,1.60490233141673e-07
1,1,-6,-6,0.0294464114355849,-8.92956412214067e-07
1,2,-6,-5.6,0.0294482517678415,-1.48519109660998e-06
1,3,-6,-5.2,0.0294516252442918,-2.18362291731656e-06
1,4,-6,-4.8,0.0294583256614704,-3.23154515163556e-06
1,5,-6,-4.4,0.0294698347569213,-4.97184985047781e-06
1,6,-6,-4,0.0294869123622414,-7.35728843699062e-06
1,7,-6,-3.6,0.0295107346582684,-1.07116404994511e-05
1,8,-6,-3.2,0.0295423784311034,-1.51494162492113e-05
1,9,-6,-2.8,0.0295824173598472,-2.08169402289029e-05
1,10,-6,-2.4,0.0296304189735009,-2.78521962945537e-05
1,11,-6,-2,0.0296844869763514,-3.5899459355321e-05
1,12,-6,-1.6,0.0297409727567472,-4.42703490037537e-05
1,13,-6,-1.2,0.0297946152271667,-5.22767462851515e-05
1,14,-6,-0.8,0.0298392544035887,-5.90079660335049e-05
1,15,-6,-0.4,0.0298689256129396,-6.34085215395089e-05
1,16,-6,0,0.029879337260142,-6.4912682133011e-05
1,17,-6,0.4,0.029868919038334,-6.33927288983418e-05
1,18,-6,0.8,0.0298392423454183,-5.89843163107498e-05
1,19,-6,1.2,0.0297945988760004,-5.23401421425053e-05
1,20,-6,1.6,0.029740954921767,-4.43810868454403e-05
1,21,-6,2,0.0296844693715609,-3.60068826011655e-05
1,22,-6,2.4,0.0296304072239355,-2.79876790429581e-05
1,23,-6,2.8,0.0295824163441753,-2.08206786161955e-05
1,24,-6,3.2,0.029542407250403,-1.49816227405456e-05
1,25,-6,3.6,0.0295108298253205,-1.03579423244105e-05
1,26,-6,4,0.0294871522554718,-7.2351829032247e-06
1,27,-6,4.4,0.0294703657604735,-4.76571937760007e-06
1,28,-6,4.8,0.0294596120552794,-3.22035793707126e-06
1,29,-6,5.2,0.0294532146192177,-1.83104301182789e-06
1,30,-6,5.6,0.0294490984169147,-1.04197592877846e-06
1,31,-6,6,0.0294967504674162,-4.48059831520663e-08
2,0,-5.6,-6.4,0.0294967504674162,7.25487463286921e-08
2,1,-5.6,-6,0.0294482517678415,-1.512029343184e-06
2,2,-5.6,-5.6,0.0294520707491801,-2.17705386600349e-06
2,3,-5.6,-5.2,0.029458317867725,-3.28189271792327e-06
