x,y,z
0,0,0
0.707107,0.707107,0
0.707107,0,0.707107
0,0.707107,0.707107
1.41421,0,0
2.12132,0.707107,0
2.12132,0,0.707107
1.41421,0.707107,0.707107
2.82843,0,0
3.53553,0.707107,0
3.53553,0,0.707107
2.82843,0.707107,0.707107
4.24264,0,0
4.94975,0.707107,0
4.94975,0,0.707107
4.24264,0.707107,0.707107
0,1.41421,0
0.707107,2.12132,0
0.707107,1.41421,0.707107
0,2.12132,0.707107
1.41421,1.41421,0
2.12132,2.12132,0
2.12132,1.41421,0.707107
1.41421,2.12132,0.707107
2.82843,1.41421,0
3.53553,2.12132,0
3.53553,1.41421,0.707107
2.82843,2.12132,0.707107
4.24264,1.41421,0
4.94975,2.12132,0
4.94975,1.41421,0.707107
4.24264,2.12132,0.707107
0,2.82843,0
0.707107,3.53553,0
0.707107,2.82843,0.707107
0,3.53553,0.707107
1.41421,2.82843,0
2.12132,3.53553,0
2.12132,2.82843,0.707107
1.41421,3.53553,0.707107
2.82843,2.82843,0
3.53553,3.53553,0
3.53553,2.82843,0.707107
2.82843,3.53553,0.707107
4.24264,2.82843,0
4.94975,3.53553,0
4.94975,2.82843,0.707107
4.24264,3.53553,0.707107
0,4.24264,0
0.707107,4.94975,0
0.707107,4.24264,0.707107
0,4.94975,0.707107
1.41421,4.24264,0
2.12132,4.94975,0
2.12132,4.24264,0.707107
1.41421,4.94975,0.707107
2.82843,4.24264,0
3.53553,4.94975,0
3.53553,4.24264,0.707107
2.82843,4.94975,0.707107
4.24264,4.24264,0
4.94975,4.94975,0
4.94975,4.24264,0.707107
4.24264,4.94975,0.707107
0,0,1.41421
0.707107,0.707107,1.41421
0.707107,0,2.12132
0,0.707107,2.12132
1.41421,0,1.41421
2.12132,0.707107,1.41421
2.12132,0,2.12132
1.41421,0.707107,2.12132
2.82843,0,1.41421
3.53553,0.707107,1.41421
3.53553,0,2.12132
2.82843,0.707107,2.12132
4.24264,0,1.41421
4.94975,0.707107,1.41421
4.94975,0,2.12132
4.24264,0.707107,2.12132
0,1.41421,1.41421
0.707107,2.12132,1.41421
